RespondentID,"B1 During the session, were you able to generate code?","B2 During the session, were you able to run the generated code?","B3 During the session, were you able to view the preprocessing plot?","B4 During the session, were you able to view the forecasting plots?","B5 Did you experience a freeze, crash, or timeout during the tasks?",B7 Estimated active time (excluding breaks):,C1–C5 Workflow usability: [(C1) The tutorial steps were clear enough to complete the workflow without external help.],C1–C5 Workflow usability: [(C2) The editor buttons and their effects were clear (Save / Generate / Run / Plots).],"C1–C5 Workflow usability: [(C3) From the console/logs, it was clear which stage was running (preprocess/train/predict).]",C1–C5 Workflow usability: [(C4) The edit → generate → run → inspect cycle was smooth enough for experimentation.],C1–C5 Workflow usability: [(C5) The allowed safe edits were clear and helped avoid unnecessary invalid configurations.],D1–D7 Learnability: [(D1) The DSL concepts and keywords were meaningful (I understood what blocks/parameters represent).],D1–D7 Learnability: [(D2) The DSL concepts were easy to learn.],"D1–D7 Learnability: [(D3) After completing the tasks, the DSL concepts were easy to remember.]",D1–D7 Learnability: [(D4) The structure of the IoT model (Things/ports/connectors) was understandable.],D1–D7 Learnability: [(D5) The structure of the data_analytics block was understandable.],"D1–D7 Learnability: [(D6) I could follow the message flow between Things (who sends what to whom, and when).]",D1–D7 Learnability: [(D7) ML2++ is suitable for its target users (people building IoT + time-series forecasting workflows).],E1–E9 Pipeline support: [(E1) The tool handled the provided dataset size with reasonable runtime (no freezes/crashes/timeouts).],"E1–E9 Pipeline support: [(E2) It was clear how inputs/outputs are specified (e.g., features, output_features, timestamps).]","E1–E9 Pipeline support: [(E3) Preprocessing directives were understandable (e.g., resampling, alignment, missing values).]","E1–E9 Pipeline support: [(E4) Time-series settings were understandable (e.g., horizon/steps, lag window, multivariate, supervised_learning).]","E1–E9 Pipeline support: [(E5) It was easy to modify forecasting model hyperparameters (e.g., epochs, layers, dropout, optimizer, learning rate).]","E1–E9 Pipeline support: [(E6) It was easy to modify time-series parameters (e.g., steps/horizon, lag length, multivariate, supervised_learning).]","E1–E9 Pipeline support: [(E7) ML2++ provides sufficient constructs/options for specifying realistic forecasting pipelines (e.g., preprocessing, model definition, evaluation settings).]",E1–E9 Pipeline support: [(E8) ML2++ automated key steps ( preprocess → train → predict → visualize).],"E1–E9 Pipeline support: [(E9) After edits, the effect on logs/plots was understandable ( changes in runtime, metrics/curves, forecast plots).]",E10 Python-effort comparison: Do you have enough Python experience to judge the next statement?,"(E11) Effort comparison: Compared to implementing the same pipeline directly in Python, ML2++ would reduce my effort for repeated experimentation.",F1 Errors: Did you encounter any error during the tasks?,F2–F3 Error messages: [(F2) The error message was clear enough for me to understand what went wrong.],F2–F3 Error messages: [(F3) The error message helped me decide what to do next (how to fix or proceed).],"F4 Type of problem (rate each): [(F4a) Model/specification problem (e.g., wrong keyword, missing parameter, invalid value).]","F4 Type of problem (rate each): [(F4b) Code generation problem (e.g., Generate failed or produced incomplete/wrong code).]","F4 Type of problem (rate each): [(F4c) Execution/runtime problem (e.g., crash, freeze, timeout, or runtime exception).]",(F5) Recovery: I could fix the problem and continue with the tasks.,(F6) Guidance: Auto-completion/guidance helped me avoid mistakes while editing the model.,"G1–G2 Visualization: [(G1) The plots helped me understand data preparation, model training behavior, and forecasting results.]",G1–G2 Visualization: [(G2) It was clear which DSML setting controls which plot (visualization block vs model block).],"J1–J3 Code quality: [(J1) Generated code quality: The generated code is readable, well-structured, and correct.]","J1–J3 Code quality: [(J2) Maintainability: If I had to update the solution later (e.g., new dataset, new horizon), it would be easy.]",J1–J3 Code quality: [(J3) Flexibility: I can change models/hyperparameters/thresholds or add steps without workarounds.],"H1–H5 Satisfaction: [(H1) Overall, I am satisfied with ML2++ for using a prepared forecasting model.]","H1–H5 Satisfaction: [(H2) Overall, I am satisfied with ML2++ for safe edits and repeated experimentation.]","H1–H5 Satisfaction: [(H3) Overall, I am satisfied with ML2++’s automated visualization support.]","H1–H5 Satisfaction: [(H4) Overall, I am satisfied with ML2++ for generating and running runnable artifacts.]","H1–H5 Satisfaction: [(H5) In the future, I would use ML2++ (or recommend it) for similar forecasting tasks.]","I1 Mental demand: How mentally demanding were the tasks (thinking, deciding, concentrating)? (0–20)",I2 Temporal demand: How much time pressure did you feel while doing the tasks? (0–20),I3 Effort: How hard did you have to work to accomplish the tasks? (0–20),"I4 Frustration: How irritated, stressed, or annoyed did you feel during the tasks? (0–20)","I5 Performance: How successful were you in accomplishing the tasks? (0 = excellent, 20 = very poor) (0–20)","I6 Physical demand: How physically demanding were the tasks (e.g., fatigue from long sitting)? (0–20)"
S4-PUB-019,Yes,Yes,Yes,Yes,No,20–30 min,5,5,4,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,3,Yes,4,Yes,4,5,1,1,1,5,4,4,3,4,4,5,5,5,5,4,5,6,10,5,2,0,0
S4-PUB-020,Yes,Yes,Yes,Yes,Yes,20–30 min,5,5,4,5,5,4,4,4,3,4,3,4,4,5,5,5,5,5,5,5,5,Yes,5,No,,,,,,,,5,5,5,5,5,5,5,5,5,4,5,0,3,0,2,2
S4-PUB-021,Yes,Yes,Yes,Yes,No,10–20 min,5,5,5,5,5,4,4,4,4,3,4,4,4,4,3,3,5,5,4,4,4,No,,No,,,,,,,,4,3,4,5,5,4,4,4,4,3,3,2,7,0,20,0
S4-PUB-022,Yes,Yes,Yes,Yes,No,10–20 min,5,4,4,4,4,3,3,3,4,4,4,4,5,5,4,4,5,4,4,5,5,No,,No,,,,,,,,5,5,4,3,3,4,4,4,4,4,,,,,,
S4-PUB-023,Yes,Yes,Yes,Yes,No,<10 min,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,Yes,5,No,,,,,,,,5,5,5,5,5,5,5,5,5,5,0,0,0,0,20,0
S4-PUB-024,Yes,Yes,Yes,Yes,No,10–20 min,4,5,5,5,4,3,3,4,3,4,3,3,4,4,3,3,5,5,4,4,5,Yes,3,No,,,,,,,,3,4,5,3,4,4,4,5,4,4,15,8,10,0,20,5
S4-PUB-025,Yes,Yes,Yes,Yes,No,<10 min,5,5,4,5,5,4,3,3,4,4,2,3,4,4,3,4,4,4,3,4,3,No,,Yes,4,4,3,3,3,4,4,3,3,4,4,5,4,4,4,4,4,,,,,,
S4-PUB-026,Yes,Yes,Yes,Yes,No,10–20 min,4,5,5,4,4,4,4,4,3,5,4,5,5,5,5,4,3,4,4,5,4,Yes,3,No,,,,,,,,5,4,4,4,3,4,5,5,5,4,18,15,3,5,1,7
S4-PUB-027,Yes,Yes,Yes,Yes,No,<10 min,4,5,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,No,,No,,,,,,,,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1
S4-PUB-028,Yes,Yes,Yes,Yes,Yes,10–20 min,4,4,4,5,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,Yes,3,Yes,5,4,4,3,4,4,4,4,4,4,3,5,4,4,3,4,3,16,18,20,18,20,18
S4-PUB-029,Yes,Yes,Not attempted,Not attempted,No,>30 min,4,4,4,4,4,4,4,5,4,3,5,4,4,4,3,5,4,3,4,5,4,No,,No,,,,,,,,3,4,5,4,4,4,3,5,4,3,12,8,14,06,4,10
S4-PUB-030,Yes,Yes,Yes,Yes,No,<10 min,3,5,2,4,4,3,4,2,1,1,3,4,2,1,3,1,4,1,3,1,1,Yes,4,No,,,,,,,,2,3,2,3,3,3,4,5,5,3,4,4,4,5,10,0
S4-PUB-031,Yes,Yes,Yes,Yes,No,<10 min,5,5,5,5,5,4,4,3,4,5,5,4,5,5,5,5,5,5,5,5,5,Yes,3,No,,,,,,,,5,4,4,4,3,4,4,4,4,4,10,10,5,5,5,5
S4-PUB-032,Yes,Yes,Yes,Yes,No,20–30 min,5,5,5,5,5,5,4,4,4,5,4,4,5,5,3,4,5,4,4,4,4,Yes,4,No,,,,,,,,4,5,4,3,4,4,5,4,4,4,8,8,4,4,3,0
S4-PUB-033,Yes,Yes,Yes,No,No,<10 min,4,5,5,5,5,4,4,3,4,4,3,5,3,4,4,5,3,4,4,4,4,No,,Yes,4,4,4,2,1,5,5,3,4,3,4,4,4,5,4,5,5,10,4,10,8,13,2
S4-PUB-034,Yes,Yes,Yes,Yes,No,20–30 min,5,5,4,3,4,4,4,3,3,5,4,4,5,4,4,5,4,4,4,5,4,Yes,4,No,,,,,,,,5,4,5,5,3,4,4,5,5,4,15,10,5,5,0,5
S4-PUB-035,Yes,Yes,Yes,Yes,No,<10 min,5,5,5,4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,No,,No,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,
S4-PUB-036,Yes,Yes,Yes,Yes,No,<10 min,4,4,4,4,4,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,Yes,5,No,,,,,,,,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0
S4-PUB-037,Yes,Yes,Yes,Yes,No,10–20 min,5,5,5,5,5,5,5,1,5,5,4,4,1,1,1,1,5,1,4,4,4,Yes,5,No,,,,,,,,4,4,3,4,5,4,4,4,2,4,2,0,0,0,0,0
S4-PUB-038,Yes,Yes,Yes,Yes,No,10–20 min,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Yes,5,No,,,,,,,,5,5,5,5,5,5,5,5,5,5,6,3,5,1,0,2
S4-PUB-039,Yes,Yes,Yes,Yes,No,10–20 min,4,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,Yes,5,No,,,,,,,,5,5,4,4,5,5,4,5,5,5,5,2,2,0,0,0
S4-PUB-040,Yes,Yes,Yes,Yes,Yes,<10 min,4,5,2,1,3,4,3,3,4,4,3,3,2,3,3,4,4,4,3,5,3,Yes,3,No,,,,,,,,4,3,3,3,4,3,2,3,3,2,12,4,14,13,14,2
